Model,Overall_Accuracy,Malware_Precision,Malware_Recall,Malware_F1,Benign_Precision,Benign_Recall,Benign_F1,ROC_AUC,Overfitting_Gap
Logistic Regression (Balanced),0.982 ± 0.012,0.861 ± 0.075,1.000 ± 0.000,0.923 ± 0.045,1.000 ± 0.000,0.980 ± 0.013,0.990 ± 0.007,0.997 ± 0.001,0.003
Random Forest (Balanced),0.996 ± 0.003,0.963 ± 0.027,1.000 ± 0.000,0.981 ± 0.014,1.000 ± 0.000,0.995 ± 0.003,0.998 ± 0.002,1.000 ± 0.000,0.004
Logistic Regression (No Balance),0.987 ± 0.009,0.920 ± 0.052,0.961 ± 0.029,0.940 ± 0.041,0.995 ± 0.003,0.990 ± 0.007,0.993 ± 0.005,0.996 ± 0.003,0.004
Logistic Regression (Balanced) + SMOTE,0.982 ± 0.015,0.874 ± 0.085,0.977 ± 0.033,0.922 ± 0.062,0.997 ± 0.004,0.982 ± 0.013,0.990 ± 0.009,0.996 ± 0.002,0.007
Random Forest (Balanced) + SMOTE,0.996 ± 0.003,0.963 ± 0.027,1.000 ± 0.000,0.981 ± 0.014,1.000 ± 0.000,0.995 ± 0.003,0.998 ± 0.002,1.000 ± 0.000,0.004
