Model,Overall_Accuracy,Overall_Precision,Overall_F1,Malware_Precision,Malware_Recall,Malware_F1,Benign_Precision,Benign_Recall,Benign_F1,ROC_AUC,Overfitting_Gap
Logistic Regression,0.980 ± 0.013,0.981 ± 0.012,0.981 ± 0.012,0.851 ± 0.080,1.000 ± 0.000,0.918 ± 0.048,1.000 ± 0.000,0.978 ± 0.014,0.989 ± 0.007,0.998 ± 0.002,0.005
Logistic Regression (No Balance),0.988 ± 0.012,0.988 ± 0.011,0.988 ± 0.011,0.931 ± 0.076,0.961 ± 0.035,0.945 ± 0.050,0.995 ± 0.004,0.991 ± 0.011,0.993 ± 0.007,0.998 ± 0.003,0.003
Random Forest,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.000
Random Forest (No Balance),0.996 ± 0.005,0.996 ± 0.004,0.996 ± 0.004,0.964 ± 0.039,1.000 ± 0.000,0.981 ± 0.021,1.000 ± 0.000,0.995 ± 0.005,0.998 ± 0.003,1.000 ± 0.000,0.004
Logistic Regression + SMOTE,0.984 ± 0.014,0.985 ± 0.013,0.985 ± 0.013,0.885 ± 0.087,0.992 ± 0.015,0.934 ± 0.056,0.999 ± 0.002,0.983 ± 0.014,0.991 ± 0.008,0.998 ± 0.002,0.003
Logistic Regression (No Balance) + SMOTE,0.984 ± 0.014,0.985 ± 0.013,0.985 ± 0.013,0.885 ± 0.087,0.992 ± 0.015,0.934 ± 0.056,0.999 ± 0.002,0.983 ± 0.014,0.991 ± 0.008,0.998 ± 0.002,0.003
Random Forest + SMOTE,0.996 ± 0.003,0.996 ± 0.003,0.996 ± 0.003,0.963 ± 0.023,1.000 ± 0.000,0.981 ± 0.012,1.000 ± 0.000,0.995 ± 0.003,0.998 ± 0.001,1.000 ± 0.000,0.004
