Model,Overall_Accuracy,Overall_Precision,Overall_F1,Malware_Precision,Malware_Recall,Malware_F1,Benign_Precision,Benign_Recall,Benign_F1,ROC_AUC,Overfitting_Gap
Logistic Regression,0.983 ± 0.017,0.984 ± 0.015,0.984 ± 0.015,0.874 ± 0.107,1.000 ± 0.000,0.929 ± 0.063,1.000 ± 0.000,0.981 ± 0.019,0.990 ± 0.010,0.998 ± 0.003,0.002
Logistic Regression (No Balance),0.988 ± 0.013,0.988 ± 0.013,0.988 ± 0.013,0.938 ± 0.079,0.954 ± 0.062,0.944 ± 0.059,0.994 ± 0.007,0.992 ± 0.011,0.993 ± 0.008,0.998 ± 0.002,0.002
Random Forest,0.999 ± 0.002,0.999 ± 0.002,0.999 ± 0.002,0.993 ± 0.021,1.000 ± 0.000,0.996 ± 0.011,1.000 ± 0.000,0.999 ± 0.003,1.000 ± 0.001,1.000 ± 0.000,0.001
Random Forest (No Balance),0.999 ± 0.002,0.999 ± 0.002,0.999 ± 0.002,0.993 ± 0.021,1.000 ± 0.000,0.996 ± 0.011,1.000 ± 0.000,0.999 ± 0.003,1.000 ± 0.001,1.000 ± 0.000,0.001
Logistic Regression + SMOTE,0.984 ± 0.017,0.985 ± 0.015,0.985 ± 0.015,0.886 ± 0.105,1.000 ± 0.000,0.936 ± 0.062,1.000 ± 0.000,0.982 ± 0.019,0.991 ± 0.010,0.998 ± 0.003,0.004
Logistic Regression (No Balance) + SMOTE,0.984 ± 0.017,0.985 ± 0.015,0.985 ± 0.015,0.886 ± 0.105,1.000 ± 0.000,0.936 ± 0.062,1.000 ± 0.000,0.982 ± 0.019,0.991 ± 0.010,0.998 ± 0.003,0.004
Random Forest + SMOTE,0.998 ± 0.003,0.998 ± 0.003,0.998 ± 0.003,0.985 ± 0.030,1.000 ± 0.000,0.992 ± 0.015,1.000 ± 0.000,0.998 ± 0.004,0.999 ± 0.002,1.000 ± 0.000,0.002
